date,equity,cash,invested,drawdown
2024-08-30,673.254031675814,0.0,673.254031675814,-0.7589630538044824
2024-08-31,671.5459584427426,0.0,671.5459584427426,-0.7595745744736614
2024-09-01,652.5051551413065,0.0,652.5051551413065,-0.7663915215173556
2024-09-02,673.3467231165953,0.0,673.3467231165953,-0.7589298686161682
2024-09-03,654.6216856201796,0.0,654.6216856201796,-0.7656337658721537
2024-09-04,660.1236172469999,0.0,660.1236172469999,-0.7636639762606392
2024-09-05,639.7303615596178,0.0,639.7303615596178,-0.7709651253701894
2024-09-06,614.4846975601781,0.0,614.4846975601781,-0.7800035231647876
2024-09-07,616.7381016407946,0.0,616.7381016407946,-0.7791967643299621
2024-09-08,624.8126192997179,0.0,624.8126192997179,-0.776305943054575
2024-09-09,649.5460890723339,0.0,649.5460890723339,-0.7674509199246412
2024-09-10,656.3099452037471,0.0,656.3099452037471,-0.7650293388427373
2024-09-11,652.9166869189278,0.0,652.9166869189278,-0.766244185804128
2024-09-12,661.9617317888822,0.0,661.9617317888822,-0.7630058984845135
2024-09-13,688.9000963622955,0.0,688.9000963622955,-0.7533614837067589
2024-09-14,683.1499247589355,0.0,683.1499247589355,-0.7554201476555275
2024-09-15,673.34524278646,0.0,673.34524278646,-0.7589303986007483
2024-09-16,662.891720728515,0.0,662.891720728515,-0.7626729458641679
2024-09-17,686.8047459915125,0.0,686.8047459915125,-0.754111656495663
2024-09-18,703.2705719583194,0.0,703.2705719583194,-0.7482165972447782
2024-09-19,716.7985119642436,0.0,716.7985119642436,-0.7433733535448812
2024-09-20,719.6801453799837,0.0,719.6801453799837,-0.7423416774079317
2024-09-21,721.3644194593408,0.0,721.3644194593408,-0.7417386772600767
2024-09-22,723.981187652406,0.0,723.981187652406,-0.7408018275948947
2024-09-23,721.2622766800031,0.0,721.2622766800031,-0.7417752461960936
2024-09-24,731.7693183659176,0.0,731.7693183659176,-0.7380135379517064
2024-09-25,719.1217193043183,0.0,719.1217193043183,-0.7425416038987087
2024-09-26,742.1463187430209,0.0,742.1463187430209,-0.7342983868142661
2024-09-27,748.9326075695618,0.0,748.9326075695618,-0.7318687744275737
2024-09-28,749.9352465573746,0.0,749.9352465573746,-0.7315098117947656
2024-09-29,747.0202487778153,0.0,747.0202487778153,-0.7325534329687864
2024-09-30,721.1210759594026,0.0,721.1210759594026,-0.7418257985714123
2024-10-01,692.4048348934599,0.0,692.4048348934599,-0.752106724829693
2024-10-02,690.6227451536222,0.0,690.6227451536222,-0.7527447447278698
2024-10-03,691.8005185835992,0.0,691.8005185835992,-0.7523230808424486
2024-10-04,706.9828983230764,0.0,706.9828983230764,-0.7468875182223847
2024-10-05,706.6640579862365,0.0,706.6640579862365,-0.7470016687472981
2024-10-06,715.3400451662985,0.0,715.3400451662985,-0.7438955106602707
2024-10-07,708.5543256975019,0.0,708.5543256975019,-0.7463249192067402
2024-10-08,707.8311274906196,0.0,707.8311274906196,-0.7465838370580705
2024-10-09,690.4717514798187,0.0,690.4717514798187,-0.752798803155025
2024-10-10,686.945946712113,0.0,686.945946712113,-0.7540611041203443
2024-10-11,712.1526666418387,0.0,712.1526666418387,-0.7450366489970033
2024-10-12,719.7390169707502,0.0,719.7390169707502,-0.7423206003288674
2024-10-13,715.9106554976931,0.0,715.9106554976931,-0.7436912219887205
2024-10-14,752.5086296903199,0.0,752.5086296903199,-0.7305884947545805
2024-10-15,763.7836211018231,0.0,763.7836211018231,-0.7265518468173306
2024-10-16,769.9995273400671,0.0,769.9995273400671,-0.7243264415660993
2024-10-17,767.7422516267891,0.0,767.7422516267891,-0.7251345865144415
2024-10-18,779.2002346173288,0.0,779.2002346173288,-0.7210324243295001
2024-10-19,778.6308768729716,0.0,778.6308768729716,-0.7212362645525597
2024-10-20,782.9399265199784,0.0,782.9399265199784,-0.719693547956665
2024-10-21,769.0422449877229,0.0,769.0422449877229,-0.7246691657147859
2024-10-22,761.6761591404154,0.0,761.6761591404154,-0.7273063557716053
2024-10-23,758.8102443599602,224.53383893681954,534.2764054231407,-0.7283324043568891
2024-10-24,755.0754786118264,224.53383893681954,530.5416396750069,-0.7296695170785834
2024-10-25,717.7189043639956,224.53383893681954,493.1850654271761,-0.7430438366569012
2024-10-26,715.7102319087859,224.53383893681954,491.1763929719663,-0.7437629772067256
2024-10-27,711.1538903615783,224.53383893681954,486.6200514247588,-0.7453942287116426
2024-10-28,694.056024441048,450.1503639823503,243.90566045869767,-0.7515155695340463
2024-10-29,726.0747594926647,450.1503639823503,275.9243955103144,-0.740052291551626
2024-10-30,714.3298959802812,450.1503639823503,264.17953199793095,-0.7442571620779288
2024-10-31,704.4825869469394,450.1503639823503,254.33222296458908,-0.7477826742709003
2024-11-01,707.4387770827093,450.1503639823503,257.28841310035904,-0.7467243054989736
2024-11-02,694.8350204903387,450.1503639823503,244.6846565079884,-0.7512366750603631
2024-11-03,681.2816484043143,0.0,681.2816484043143,-0.7560890238983422
2024-11-04,672.1090697065822,0.0,672.1090697065822,-0.7593729706019899
2024-11-05,687.185707191137,0.0,687.185707191137,-0.7539752655943744
2024-11-06,748.601509340605,0.0,748.601509340605,-0.7319873134964001
2024-11-07,751.4335794173686,0.0,751.4335794173686,-0.7309733819184255
2024-11-08,757.8910756130364,0.0,757.8910756130364,-0.7286614831553411
2024-11-09,759.5520812460261,0.0,759.5520812460261,-0.7280668135261182
2024-11-10,796.1297670171119,0.0,796.1297670171119,-0.7149713499085946
2024-11-11,878.1298350620496,0.0,878.1298350620496,-0.6856138636412212
2024-11-12,871.2355918580413,0.0,871.2355918580413,-0.688082125619671
2024-11-13,895.2392430973306,0.0,895.2392430973306,-0.6794883905359625
2024-11-14,865.0303965537871,0.0,865.0303965537871,-0.6903036961655781
2024-11-15,901.7460702093409,0.0,901.7460702093409,-0.6771588304253499
2024-11-16,897.3365004483359,0.0,897.3365004483359,-0.678737535014141
2024-11-17,886.5427716654013,0.0,886.5427716654013,-0.6826018823503542
2024-11-18,891.2159793683815,0.0,891.2159793683815,-0.6809287906781664
2024-11-19,903.2188719593937,0.0,903.2188719593937,-0.6766315411415404
2024-11-20,929.3229286896909,0.0,929.3229286896909,-0.6672858234457641
2024-11-21,974.2402356620921,0.0,974.2402356620921,-0.6512046267583783
2024-11-22,1064.4903011068036,425.3937406530641,639.0965604537394,-0.618893494339919
2024-11-23,1079.7730023244626,425.3937406530641,654.3792616713985,-0.6134220148421226
2024-11-24,1081.4018396445576,425.3937406530641,656.0080989914935,-0.6128388620424167
2024-11-25,1025.1898109025735,425.3937406530641,599.7960702495094,-0.6329637704870003
2024-11-26,1013.8173982082872,425.3937406530641,588.423657555223,-0.6370352969803252
2024-11-27,1027.5884953666746,425.3937406530641,602.1947547136105,-0.6321049986848107
2024-11-28,1030.3997674387374,425.3937406530641,605.0060267856734,-0.6310985131633084
2024-11-29,1055.9758877112063,425.3937406530641,630.5821470581421,-0.6219418061315507
2024-11-30,1040.580176665706,425.3937406530641,615.1864360126417,-0.6274537451624675
2024-12-01,1043.374866253513,0.0,1043.374866253513,-0.6264531964659633
2024-12-02,1216.0272301850523,516.9748831146223,699.05234707043,-0.5646405721109202
2024-12-03,1192.4486923803051,516.9748831146223,675.4738092656829,-0.573082109006088
2024-12-04,1179.7329313516657,820.1694673155243,359.5634640361414,-0.5776345781524905
2024-12-05,1171.4336819922264,820.1694673155243,351.2642146767021,-0.5806058573832068
2024-12-06,1192.0606484658692,820.1694673155243,371.89118115034483,-0.5732210356455506
2024-12-07,1186.7600329990742,820.1694673155243,366.5905656835497,-0.5751187504826869
2024-12-08,1181.7017313821896,820.1694673155243,361.5322640666653,-0.5769297126415541
2024-12-09,1123.4837692734357,1123.4837692734357,0.0,-0.5977727809934678
2024-12-10,1123.4837692734357,1123.4837692734357,0.0,-0.5977727809934678
2024-12-11,1123.4837692734357,1123.4837692734357,0.0,-0.5977727809934678
2024-12-12,1123.4837692734357,1123.4837692734357,0.0,-0.5977727809934678
2024-12-13,1123.4837692734357,1123.4837692734357,0.0,-0.5977727809934678
2024-12-14,1123.4837692734357,1123.4837692734357,0.0,-0.5977727809934678
2024-12-15,1121.2412867000357,5.684341886080802e-14,1121.2412867000357,-0.5985756297339997
2024-12-16,1119.0157458238064,5.684341886080802e-14,1119.0157458238064,-0.599372413044906
2024-12-17,1123.9073380946922,5.684341886080802e-14,1123.9073380946922,-0.5976211358040209
2024-12-18,1012.2220442186934,314.75351659032947,697.468527628364,-0.6376064621507666
2024-12-19,975.588716995131,633.5969122733225,341.99180472180853,-0.6507218464002595
2024-12-20,981.7442639939202,633.5969122733225,348.1473517205977,-0.6485180508328451
2024-12-21,975.435973893424,633.5969122733225,341.83906162010163,-0.6507765311537935
2024-12-22,970.1052396438524,633.5969122733225,336.5083273705299,-0.6526850290521251
2024-12-23,979.0559854038781,633.5969122733225,345.45907313055574,-0.6494805024950411
2024-12-24,988.5413320198784,633.5969122733225,354.9444197465559,-0.6460845793005884
2024-12-25,984.4936398246448,633.5969122733225,350.89672755132233,-0.6475337252692356
2024-12-26,962.2371675373455,962.2371675373455,0.0,-0.6555019391392105
2024-12-27,962.2371675373455,962.2371675373455,0.0,-0.6555019391392105
2024-12-28,962.2371675373455,962.2371675373455,0.0,-0.6555019391392105
2024-12-29,960.3165344684088,1.1368683772161603e-13,960.3165344684087,-0.6561895600191722
2024-12-30,921.1282086350267,1.1368683772161603e-13,921.1282086350266,-0.6702196793218097
2024-12-31,911.1607788188611,1.1368683772161603e-13,911.160778818861,-0.67378819689656
2025-01-01,945.982085731799,1.1368683772161603e-13,945.9820857317989,-0.6613215482231913
2025-01-02,996.2508923171914,1.1368683772161603e-13,996.2508923171913,-0.6433244192671623
